"","COD_CENSO","ano","COD_ESC","TIPOENSINO_","ef"
"76",35022445,2016,22445,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"77",35022603,2015,22603,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"78",35022913,2016,22913,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"79",35022925,2014,22925,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"80",35023206,2015,23206,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"81",35023760,2016,23760,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"82",35024442,2014,24442,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"83",35024909,2015,24909,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"84",35025525,2014,25525,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"85",35026897,2013,26897,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"86",35027261,2014,27261,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"87",35028022,2013,28022,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"88",35028782,2014,28782,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"89",35028812,2014,28812,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"90",35028848,2014,28848,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"91",35029002,2014,29002,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"92",35029737,2015,29737,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"93",35029889,2014,29889,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"94",35029944,2015,29944,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"95",35030259,2015,30259,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"96",35030557,2014,30557,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"97",35031264,2014,31264,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"98",35031306,2015,31306,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"100",35031665,2015,31665,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"101",35031744,2015,31744,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"102",35032098,2014,32098,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"103",35032487,2014,32487,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"104",35033145,2014,33145,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"105",35033200,2014,33200,"EDUCACAO ESPECIAL - DM / EDUCA<c7><c3>O F<cd>SICA DOS ALUNOS DO NOTURNO / ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"106",35033273,2014,33273,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"107",35033424,2015,33424,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO / ESPECTRO DO AUTISMO",1
"108",35033613,2015,33613,"EDUCACAO ESPECIAL - DA / ENSINO FUNDAMENTAL DE 9 ANOS",1
"109",35033674,2014,33674,"EDUCACAO ESPECIAL - DA / EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"110",35033765,2015,33765,"EDUCACAO ESPECIAL - DA / EDUCACAO ESPECIAL - DF / EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS / ESPECTRO DO AUTISMO",1
"111",35034228,2016,34228,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"112",35034356,2014,34356,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"113",35034472,2014,34472,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"114",35035919,2014,35919,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"115",35035993,2014,35993,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"116",35036109,2014,36109,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"117",35036894,2013,36894,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"118",35040721,2014,40721,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"119",35040873,2016,40873,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"120",35041075,2014,41075,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"121",35041257,2013,41257,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"122",35041294,2014,41294,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
